ts,event,detail,data
1777772488,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772716,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772717,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772717,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772717,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772718,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772718,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772718,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772719,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772719,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772719,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772720,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772721,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772721,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772721,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772721,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772721,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772723,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772723,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772723,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772723,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772724,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772724,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772725,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772725,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772726,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772727,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772727,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772727,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772728,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772728,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772728,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772728,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772729,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772729,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772730,PRE_APK_REPORT_EXPORT,Pre-APK safe report export,"{""path"": ""logs/pre_apk_safe_report.json"", ""order_endpoint_used"": false}"
1777772730,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772730,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772730,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772730,FIRST_RUN_STATUS,First run státusz,"{""ok"": true, ""first_run_done"": false, ""missing_count"": 3, ""ready"": false, ""checklist"": [{""id"": ""secrets_file"", ""label"": ""Titkosított secrets fájl"", ""ok"": true}, {""id"": ""binance_api"", ""label"": ""Binance API key/secret megadva"", ""ok"": false}, {""id"": ""email"", ""label"": ""E-mail értesítés beállítva"", ""ok"": false}, {""id"": ""openai"", ""label"": ""OpenAI API kulcs megadva"", ""ok"": false}, {""id"": ""sync_dirs"", ""label"": ""Drive/PC sync mappák létrehozva"", ""ok"": true}, {""id"": ""live_safe"", ""label"": ""Live mód biztonsági állapot ellenőrizve"", ""ok"": true}]}"
1777772730,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772732,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772732,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772732,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772732,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772733,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772733,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772734,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772735,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772735,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772735,FIRST_RUN_STATUS,First run státusz,"{""ok"": true, ""first_run_done"": false, ""missing_count"": 3, ""ready"": false, ""checklist"": [{""id"": ""secrets_file"", ""label"": ""Titkosított secrets fájl"", ""ok"": true}, {""id"": ""binance_api"", ""label"": ""Binance API key/secret megadva"", ""ok"": false}, {""id"": ""email"", ""label"": ""E-mail értesítés beállítva"", ""ok"": false}, {""id"": ""openai"", ""label"": ""OpenAI API kulcs megadva"", ""ok"": false}, {""id"": ""sync_dirs"", ""label"": ""Drive/PC sync mappák létrehozva"", ""ok"": true}, {""id"": ""live_safe"", ""label"": ""Live mód biztonsági állapot ellenőrizve"", ""ok"": true}]}"
1777772735,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772736,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772737,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772737,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772737,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772737,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772737,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772738,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772739,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772739,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772739,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772739,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772740,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772740,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772740,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772741,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772741,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772742,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
1777772743,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772743,BINANCE_LIVE_STATUS,Live státusz ellenőrzés,"{""ok"": true, ""has_api_key"": false, ""has_api_secret"": false, ""live_mode_enabled"": false, ""live_require_confirm"": true, ""live_warning_ack"": false, ""live_allow_buy"": false, ""live_allow_sell"": false, ""live_max_order_usdt"": 10.0, ""execution_mode"": ""AUTO"", ""safe_mode"": false, ""ready_for_live"": false, ""warnings"": [""Binance API key hiányzik."", ""Binance API secret hiányzik.""]}"
1777772743,HEALTHCHECK,OK,"{""warnings"": [], ""running"": false, ""safe_mode"": false}"
